Company Name,Industry,Symbol
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
NHPC Ltd.,Power,NHPC
NTPC Ltd.,Power,NTPC
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Power Finance Corporation Ltd.,Financial Services,PFC
Power Grid Corporation of India Ltd.,Power,POWERGRID
Punjab National Bank,Financial Services,PNB
REC Ltd.,Financial Services,RECLTD
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON
Shree Cement Ltd.,Construction Materials,SHREECEM
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN
Siemens Ltd.,Capital Goods,SIEMENS
State Bank of India,Financial Services,SBIN
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR
Tata Consultancy Services Ltd.,Information Technology,TCS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
Tata Power Co. Ltd.,Power,TATAPOWER
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Tech Mahindra Ltd.,Information Technology,TECHM
Titan Company Ltd.,Consumer Durables,TITAN
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM
Trent Ltd.,Consumer Services,TRENT
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Union Bank of India,Financial Services,UNIONBANK
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL
Vedanta Ltd.,Metals & Mining,VEDL
Wipro Ltd.,Information Technology,WIPRO
Zomato Ltd.,Consumer Services,ZOMATO
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE
360 ONE WAM Ltd.,Financial Services,360ONE
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC
Aarti Industries Ltd.,Chemicals,AARTIIND
Aavas Financiers Ltd.,Financial Services,AAVAS
Action Construction Equipment Ltd.,Capital Goods,ACE
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL
